code,shape,measurements,
A11,Driehoek,"700, 900, 1100",
A13,Driehoek,"700, 900, 1100",
A14,Driehoek,"700, 900, 1100",
A15,Driehoek,"700, 900, 1100",
A17,Driehoek,"700, 900, 1100",
A19,Driehoek,"700, 900, 1100",
A1a,Driehoek,"700, 900, 1100",
A1b,Driehoek,"700, 900, 1100",
A1c,Driehoek,"700, 900, 1100",
A1d,Driehoek,"700, 900, 1100",
A21,Driehoek,"700, 900, 1100",
A23,Driehoek,"700, 900, 1100",
A25,Driehoek,"700, 900, 1100",
A27,Driehoek,"700, 900, 1100",
A29,Driehoek,"700, 900, 1100",
A3,Driehoek,"700, 900, 1100",
A31,Driehoek,"700, 900, 1100",
A33,Driehoek,"700, 900, 1100",
A35,Driehoek,"700, 900, 1100",
A37,Driehoek,"700, 900, 1100",
A39,Driehoek,"700, 900, 1100",
A41,Driehoek,"700, 900, 1100",
A43,Driehoek,"700, 900, 1100",
A45,Rechthoek,962x962,
A47,Rechthoek,962x1452,
A49,Driehoek,"700, 900, 1100",
A5,Rechthoek,"700, 900, 1100",
A50,Driehoek,"700, 900, 400",
A51,Driehoek,"700, 900, 1100",
A7a,Rechthoek,"700, 900, 1100",
A7b,Rechthoek,"700, 900, 1100",
A7c,Rechthoek,"700, 900, 1100",
A9,Rechthoek,"700, 900, 1100",
B1,Omgekeerde driehoek,"700, 900, 1100, 400, 300",
B11,Ruit,"400, 700, 900, 1100",
B15a,Driehoek,"400, 700, 900",
B15b,Driehoek,"400, 700, 900",
B15c,Driehoek,"400, 700, 900",
B15cg,Driehoek,"400, 700, 900",
B15d,Driehoek,"400, 700, 900",
B15e,Driehoek,"400, 700, 900",
B15f,Driehoek,"400, 700, 900",
B15g,Driehoek,"400, 700, 900",
B17,Driehoek,"400, 700, 900",
B19,Rond,"400, 700",
B21,Rechthoek,400x600,
B22,Omgekeerde driehoek,"700, 900, 400, 300",
B23,Omgekeerde driehoek,"700, 900, 400, 300",
B5,Achthoek,"700, 900, 400, 300",
B9,Ruit,"400, 700, 900, 1100",
C1,Rond,"400, 700, 900, 1100",
C11,Rond,"400, 700, 900",
C11-C19,Rond,"400, 700, 900",
C13,Rond,"400, 700, 900",
C15,Rond,"400, 700, 900",
C17,Rond,"400, 700, 900",
C19,Rond,"400, 700, 900",
C21,Rond,"400, 700, 900",
C22,Rond,"400, 700, 900",
C23,Rond,"400, 700, 900",
C24a,Rond,"700, 900",
C24b,Rond,"700, 900",
C24c,Rond,"700, 900",
C25,Rond,"400, 700, 900",
C27,Rond,"400, 700",
